,city,date,fare,ride_id,driver_count,type,,,,,,,
62,Port Angela,4/17/2018 6:23,16.34,7.12E+12,67,Urban,,,,,,,
63,West Ericstad,4/4/2018 13:03,28.52,6.43E+12,25,Urban,,,,,,,
64,New Kimberlyborough,3/16/2018 1:38,17.19,2.77E+12,33,Urban,,,,,,,
65,Joneschester,1/30/2018 17:41,36.78,1.66E+12,39,Urban,,,,,,,
66,North Markport,4/26/2018 4:45,44.37,1.63E+12,22,Urban,,,,,,,
67,Hurleymouth,3/22/2018 11:19,32.85,8.45E+12,36,Urban,,,,,,,
68,Barajasview,1/15/2018 2:59,19.52,8.27E+12,26,Urban,,,,,,,
69,Grahamburgh,4/6/2018 13:48,23.87,1.47E+12,61,Urban,,,,,,,
70,South Michelleport,3/2/2018 9:54,33.12,8.14E+11,72,Urban,,,,,,,
71,Loganberg,1/7/2018 19:02,16.26,9.05E+12,23,Urban,,,,,,,
72,West Christopherberg,3/18/2018 17:14,12.64,1.06E+12,32,Urban,,,,,,,
73,Rogerston,2/23/2018 19:13,14.04,7.65E+12,25,Urban,,,,,,,
74,Huntermouth,2/24/2018 7:57,39.12,9.28E+11,37,Urban,,,,,,,
75,New Jacobville,2/9/2018 2:17,7.11,3.86E+12,50,Urban,,,,,,,
76,Lake Jonathanshire,4/7/2018 20:51,31.25,4.44E+12,5,Urban,,,,,,,
77,Port David,3/17/2018 14:42,33.11,1.03E+12,7,Urban,,,,,,,
78,Martinezhaven,2/20/2018 19:32,13.34,2.76E+12,25,Urban,,,,,,,
79,Port Frank,4/19/2018 19:35,26.47,6.72E+12,23,Urban,,,,,,,
80,Valentineton,3/2/2018 14:44,39.77,6.77E+12,45,Urban,,,,,,,
81,Hurleymouth,3/3/2018 11:28,36.31,1.67E+11,36,Urban,,,,,,,
82,Carriemouth,2/25/2018 8:26,32.37,6.92E+12,52,Urban,,,,,,,
83,Port Samanthamouth,4/16/2018 18:34,9.2,8.71E+12,57,Urban,,,,,,,
84,Williamsstad,1/23/2018 17:51,19.62,1.26E+11,59,Urban,,,,,,,
85,Royland,1/7/2018 2:23,24.5,3.62E+12,64,Urban,,,,,,,
86,New Jacobville,1/5/2018 5:02,34.11,2.83E+12,50,Urban,,,,,,,
87,Roberthaven,3/6/2018 22:56,12.38,3.37E+12,47,Urban,,,,,,,
88,South Evanton,1/7/2018 18:47,43.61,9.12E+12,11,Urban,,,,,,,
89,New Paulton,5/3/2018 12:09,21.67,9.09E+12,44,Urban,,,,,,,
90,Karenberg,3/11/2018 17:26,36.15,7.80E+12,22,Urban,,,,,,,
91,Rodneyfort,1/30/2018 12:34,16.99,5.78E+12,34,Urban,,,,,,,
92,East Kaylahaven,4/4/2018 2:35,23.18,57422927996,65,Urban,,,,,,,
93,Huntermouth,2/19/2018 3:19,7.05,1.62E+12,37,Urban,,,,,,,
94,Barajasview,1/23/2018 13:23,37.68,4.11E+12,26,Urban,,,,,,,
95,Williamsstad,3/29/2018 21:43,35.58,4.75E+12,59,Urban,,,,,,,
96,North Jason,3/8/2018 20:06,25.21,3.18E+12,6,Urban,,,,,,,
97,Christopherfurt,4/17/2018 2:25,23.3,7.82E+12,41,Urban,,,,,,,
98,Liumouth,1/11/2018 17:15,36.78,1.46E+12,69,Urban,,,,,,,
99,Johnton,1/17/2018 2:12,32.19,8.53E+12,27,Urban,,,,,,,
100,West Angela,3/8/2018 1:08,41.06,6.20E+12,48,Urban,,,,,,,
101,Jerryton,1/4/2018 16:38,37.2,5.64E+12,64,Urban,,,,,,,
102,Erikaland,2/18/2018 7:47,20.62,3.29E+12,37,Urban,,,,,,,
103,North Jason,2/7/2018 7:27,20,4.74E+11,6,Urban,,,,,,,
104,Lake Scottton,5/5/2018 11:21,18.77,4.05E+11,58,Urban,,,,,,,
105,Simpsonburgh,3/22/2018 8:56,22.05,3.50E+12,21,Urban,,,,,,,
106,Raymondhaven,3/12/2018 6:59,16.98,6.45E+12,11,Urban,,,,,,,
107,West Robert,4/5/2018 3:18,44.58,4.25E+12,39,Urban,,,,,,,
108,North Jason,3/18/2018 10:10,6.41,2.87E+12,6,Urban,,,,,,,
109,Port Samanthamouth,1/23/2018 9:08,35.51,3.12E+12,57,Urban,,,,,,,
110,West Robert,1/21/2018 17:21,27.11,1.37E+12,39,Urban,,,,,,,
111,Jerryton,1/5/2018 15:36,37.91,1.59E+12,64,Urban,,,,,,,
112,Port Samanthamouth,2/3/2018 7:07,18.03,9.29E+12,57,Urban,,,,,,,
113,Liumouth,1/15/2018 7:55,14.55,4.38E+12,69,Urban,,,,,,,
114,West Heidi,4/3/2018 3:16,24.76,1.82E+12,28,Urban,,,,,,,
115,Loganberg,1/21/2018 16:26,22.86,1.95E+12,23,Urban,,,,,,,
116,Grahamburgh,2/17/2018 9:54,30.25,4.05E+12,61,Urban,,,,,,,
117,Raymondhaven,5/6/2018 23:22,25.76,8.72E+12,11,Urban,,,,,,,
118,Karenside,1/25/2018 15:35,14.52,2.65E+12,5,Urban,,,,,,,
119,Port Frank,4/6/2018 21:38,18.08,5.47E+12,23,Urban,,,,,,,
120,Leahton,4/2/2018 17:39,22.76,5.81E+12,17,Urban,,,,,,,
121,Port Samanthamouth,4/22/2018 3:32,29.67,3.15E+12,57,Urban,,,,,,,
122,Jerryton,4/13/2018 21:47,32.08,8.50E+12,64,Urban,,,,,,,
123,West Patrickchester,3/7/2018 15:47,23.66,3.07E+12,25,Urban,,,,,,,
124,West Samuelburgh,3/3/2018 16:07,27.48,1.01E+11,73,Urban,,,,,,,
125,North Markport,3/31/2018 13:58,29.41,3.09E+12,22,Urban,,,,,,,
126,West Angela,3/10/2018 11:23,27.1,1.37E+12,48,Urban,,,,,,,
127,Grahamburgh,3/12/2018 2:44,22.97,4.90E+12,61,Urban,,,,,,,
128,South Michelleport,1/8/2018 9:38,23.77,4.92E+12,72,Urban,,,,,,,
129,East Kaylahaven,4/2/2018 7:05,9.67,2.09E+12,65,Urban,,,,,,,
130,South Karenland,4/22/2018 21:37,22.86,6.73E+12,4,Urban,,,,,,,
131,Lake Danielberg,2/24/2018 12:05,9.63,9.15E+12,19,Urban,,,,,,,
132,Justinberg,4/26/2018 8:41,8.83,1.82E+12,39,Urban,,,,,,,
133,Karenberg,4/29/2018 20:54,28.41,9.05E+12,22,Urban,,,,,,,
134,South Phillip,2/9/2018 16:46,7.89,3.20E+12,38,Urban,,,,,,,
135,North Madeline,4/5/2018 18:23,29.69,2.41E+11,19,Urban,,,,,,,
136,New Kimberlyborough,5/1/2018 13:56,22.59,9.25E+12,33,Urban,,,,,,,
137,South Jack,4/24/2018 19:33,38.04,2.20E+12,46,Urban,,,,,,,
138,Erikaland,3/11/2018 2:19,27.39,1.32E+11,37,Urban,,,,,,,
139,New Paulville,3/27/2018 2:18,7.29,7.05E+12,44,Urban,,,,,,,
140,Hurleymouth,3/26/2018 20:22,41.15,4.71E+12,36,Urban,,,,,,,
141,Liumouth,4/12/2018 3:38,43.34,7.86E+12,69,Urban,,,,,,,
142,Deanville,5/1/2018 21:53,8.28,5.93E+11,49,Urban,,,,,,,
143,Karenside,4/2/2018 19:22,41.93,4.09E+12,5,Urban,,,,,,,
144,West Angela,1/30/2018 18:08,19.13,2.08E+12,48,Urban,,,,,,,
145,Liumouth,2/1/2018 20:17,24.81,5.47E+12,69,Urban,,,,,,,
146,Jerryton,3/27/2018 12:48,13.29,8.96E+12,64,Urban,,,,,,,
147,South Phillip,5/4/2018 9:10,28.3,8.70E+12,38,Urban,,,,,,,
148,Port Johnbury,4/27/2018 16:22,25.67,2.75E+12,3,Urban,,,,,,,
149,Raymondhaven,2/8/2018 23:57,5.7,3.93E+12,11,Urban,,,,,,,
150,Port David,3/7/2018 18:37,42.04,9.91E+12,7,Urban,,,,,,,
151,Robertport,3/6/2018 9:51,6.73,9.68E+12,12,Urban,,,,,,,
152,Loganberg,3/16/2018 11:46,23.99,9.49E+12,23,Urban,,,,,,,
153,Karenside,4/19/2018 10:17,36.01,1.32E+12,5,Urban,,,,,,,
154,Lake Jonathanshire,3/9/2018 23:45,19.89,2.39E+12,5,Urban,,,,,,,
155,Pattyland,1/30/2018 12:35,8.57,4.69E+12,59,Urban,,,,,,,
156,West Robert,4/13/2018 6:56,32.94,9.60E+12,39,Urban,,,,,,,
157,Justinberg,4/12/2018 5:27,17.03,8.37E+12,39,Urban,,,,,,,
158,West Josephberg,2/9/2018 14:07,4.42,8.30E+12,45,Urban,,,,,,,
159,North Markport,1/21/2018 11:49,27.68,4.56E+12,22,Urban,,,,,,,
160,Williamsview,1/9/2018 15:24,44.46,2.20E+12,46,Urban,,,,,,,
161,Raymondhaven,2/1/2018 5:51,13.86,8.72E+12,11,Urban,,,,,,,
162,South Latoya,2/12/2018 16:32,30.22,7.39E+12,10,Urban,,,,,,,
163,Deanville,3/29/2018 4:07,5.32,2.61E+12,49,Urban,,,,,,,
164,Amandaburgh,3/5/2018 2:15,26.28,9.07E+11,12,Urban,,,,,,,
165,Jerryton,1/27/2018 14:46,29.08,6.16E+12,64,Urban,,,,,,,
166,Deanville,3/24/2018 0:26,30.55,5.28E+12,49,Urban,,,,,,,
167,West Anthony,1/23/2018 12:32,23.24,5.97E+11,70,Urban,,,,,,,
168,West Anthony,2/24/2018 6:14,39.2,8.49E+12,70,Urban,,,,,,,
169,West Heidi,3/30/2018 10:46,22.41,1.71E+12,28,Urban,,,,,,,
170,Royland,1/1/2018 3:46,7.57,5.82E+12,64,Urban,,,,,,,
171,South Latoya,3/2/2018 6:06,10.35,3.38E+11,10,Urban,,,,,,,
172,Johnton,1/8/2018 17:33,43.75,1.95E+11,27,Urban,,,,,,,
173,West Angela,1/30/2018 18:46,32.31,7.29E+12,48,Urban,,,,,,,
174,Rodneyfort,1/8/2018 0:29,29.4,1.18E+12,34,Urban,,,,,,,
175,Royland,1/2/2018 20:08,10.19,6.68E+11,64,Urban,,,,,,,
176,New Paulville,1/31/2018 5:32,20.8,1.09E+12,44,Urban,,,,,,,
177,Huntermouth,4/9/2018 20:23,35.11,3.01E+12,37,Urban,,,,,,,
178,New Paulville,1/30/2018 15:21,7.02,8.50E+12,44,Urban,,,,,,,
179,Justinberg,5/3/2018 2:49,36.06,9.30E+11,39,Urban,,,,,,,
180,Port Angela,3/31/2018 15:22,30.77,6.62E+11,67,Urban,,,,,,,
181,Port Angela,4/9/2018 14:34,11.9,7.01E+12,67,Urban,,,,,,,
182,Christopherfurt,1/5/2018 22:21,33.51,1.90E+12,41,Urban,,,,,,,
183,South Michelleport,4/22/2018 3:15,43.62,4.66E+12,72,Urban,,,,,,,
184,Williamsstad,2/13/2018 20:07,33.72,3.80E+12,59,Urban,,,,,,,
185,Lake Jonathanshire,4/7/2018 18:09,24.28,7.80E+12,5,Urban,,,,,,,
186,Robertport,3/20/2018 19:11,20.21,9.63E+12,12,Urban,,,,,,,
187,Port Angela,2/8/2018 16:30,30.38,5.17E+12,67,Urban,,,,,,,
188,Barajasview,2/8/2018 18:07,24.49,2.61E+12,26,Urban,,,,,,,
189,South Evanton,1/24/2018 7:08,17.83,3.00E+12,11,Urban,,,,,,,
190,Lake Danielberg,2/13/2018 11:01,43.96,1.00E+11,19,Urban,,,,,,,
191,Royland,4/19/2018 0:05,25.4,9.85E+12,64,Urban,,,,,,,
192,Rodneyfort,2/8/2018 7:35,30.02,2.50E+12,34,Urban,,,,,,,
193,East Kaylahaven,1/17/2018 10:15,40.82,6.34E+12,65,Urban,,,,,,,
194,West Christopherberg,1/17/2018 14:30,9.04,5.15E+12,32,Urban,,,,,,,
195,New Jacobville,1/15/2018 15:27,27.24,3.81E+12,50,Urban,,,,,,,
196,Lake Jonathanshire,1/2/2018 14:14,13.89,4.24E+11,5,Urban,,,,,,,
197,Port Samanthamouth,4/25/2018 9:50,25.5,1.17E+12,57,Urban,,,,,,,
198,West Heidi,3/26/2018 9:45,22.33,8.26E+11,28,Urban,,,,,,,
199,Karenside,4/14/2018 5:11,13.13,3.66E+12,5,Urban,,,,,,,
200,Valentineton,2/1/2018 14:11,9.68,2.13E+12,45,Urban,,,,,,,
201,Raymondhaven,2/23/2018 11:13,4.24,2.94E+11,11,Urban,,,,,,,
202,Carriemouth,3/11/2018 21:35,16.78,1.52E+12,52,Urban,,,,,,,
203,West Josephberg,1/16/2018 16:17,7.04,2.51E+12,45,Urban,,,,,,,
204,Port Samanthamouth,3/1/2018 8:58,43.25,1.39E+12,57,Urban,,,,,,,
205,Karenberg,3/30/2018 11:38,24.64,4.54E+12,22,Urban,,,,,,,
206,New Paulton,3/10/2018 1:07,28,1.07E+12,44,Urban,,,,,,,
207,Joneschester,2/7/2018 18:36,6.34,2.61E+12,39,Urban,,,,,,,
208,North Jasmine,2/8/2018 19:03,4.86,1.28E+12,33,Urban,,,,,,,
209,Valentineton,2/27/2018 0:40,25.4,6.15E+12,45,Urban,,,,,,,
210,New Paulton,2/20/2018 16:59,24.29,7.74E+12,44,Urban,,,,,,,
211,South Evanton,4/28/2018 8:15,22.86,7.59E+12,11,Urban,,,,,,,
212,North Jasmine,1/22/2018 17:25,31.68,7.12E+11,33,Urban,,,,,,,
213,West Anthony,3/17/2018 0:30,35.42,4.56E+12,70,Urban,,,,,,,
214,Jerryton,4/29/2018 2:49,41.27,9.03E+11,64,Urban,,,,,,,
215,Grahamburgh,1/9/2018 7:00,13.55,5.46E+12,61,Urban,,,,,,,
216,South Jack,3/30/2018 20:21,4.2,4.82E+12,46,Urban,,,,,,,
217,West Christopherberg,1/23/2018 21:23,30.93,5.34E+12,32,Urban,,,,,,,
218,Lake Scottton,3/26/2018 0:49,9.79,1.83E+12,58,Urban,,,,,,,
219,West Patrickchester,1/14/2018 1:15,24.82,5.93E+12,25,Urban,,,,,,,
220,Royland,1/17/2018 14:08,27.92,3.15E+12,64,Urban,,,,,,,
221,South Karenland,2/14/2018 14:00,39.53,2.86E+12,4,Urban,,,,,,,
222,Erikaland,3/27/2018 13:11,36.52,2.20E+12,37,Urban,,,,,,,
223,Rodneyfort,3/20/2018 10:40,42.57,6.35E+12,34,Urban,,,,,,,
224,Williamsstad,5/1/2018 1:26,26.81,4.54E+12,59,Urban,,,,,,,
225,Richardfort,2/13/2018 12:46,14,9.10E+11,38,Urban,,,,,,,
226,West Ericstad,1/25/2018 12:29,20.03,3.28E+12,25,Urban,,,,,,,
227,Grahamburgh,3/5/2018 5:39,4.33,8.04E+11,61,Urban,,,,,,,
228,North Barbara,5/4/2018 2:33,24.09,9.28E+12,18,Urban,,,,,,,
229,West Robert,1/4/2018 6:10,35.35,9.55E+12,39,Urban,,,,,,,
230,Justinberg,3/14/2018 10:46,36.32,6.77E+12,39,Urban,,,,,,,
231,South Michelleport,3/3/2018 16:13,41.62,2.34E+12,72,Urban,,,,,,,
232,North Jasmine,2/22/2018 1:56,25.33,1.32E+12,33,Urban,,,,,,,
233,Barajasview,3/1/2018 11:06,28.25,7.23E+12,26,Urban,,,,,,,
234,Carriemouth,4/4/2018 13:22,12.91,4.28E+12,52,Urban,,,,,,,
235,Amandaburgh,2/24/2018 23:10,43.66,6.57E+12,12,Urban,,,,,,,
236,Johnton,3/27/2018 0:10,18.89,3.63E+12,27,Urban,,,,,,,
237,Port Angela,3/4/2018 3:26,40.35,4.93E+12,67,Urban,,,,,,,
238,Rodneyfort,5/6/2018 22:21,27.16,3.77E+12,34,Urban,,,,,,,
239,Amandaburgh,2/10/2018 20:42,36.17,6.46E+12,12,Urban,,,,,,,
240,North Madeline,2/25/2018 4:32,13.58,4.93E+12,19,Urban,,,,,,,
241,West Angela,3/1/2018 11:13,30.3,9.67E+12,48,Urban,,,,,,,
242,Joneschester,1/3/2018 5:45,25.47,5.54E+12,39,Urban,,,,,,,
243,Joneschester,1/3/2018 1:03,17.97,5.44E+12,39,Urban,,,,,,,
244,South Phillip,1/29/2018 11:26,35.23,7.42E+12,38,Urban,,,,,,,
245,Liumouth,3/30/2018 3:13,4.66,3.16E+12,69,Urban,,,,,,,
246,West Anthony,1/10/2018 2:31,32.34,1.48E+12,70,Urban,,,,,,,
247,North Jason,2/26/2018 11:57,13.88,2.49E+12,6,Urban,,,,,,,
248,North Jason,3/21/2018 9:45,10.42,6.60E+12,6,Urban,,,,,,,
249,Carriemouth,4/28/2018 14:28,11.46,6.99E+12,52,Urban,,,,,,,
250,Huntermouth,5/4/2018 15:20,36.77,7.19E+12,37,Urban,,,,,,,
251,South Phillip,4/18/2018 6:03,39.95,9.72E+12,38,Urban,,,,,,,
252,South Jack,2/1/2018 22:32,28.37,3.37E+12,46,Urban,,,,,,,
253,Port Johnbury,5/5/2018 6:26,25.3,2.54E+12,3,Urban,,,,,,,
254,South Phillip,5/6/2018 5:05,43.43,2.44E+12,38,Urban,,,,,,,
255,North Jasmine,4/10/2018 11:45,38.24,2.96E+12,33,Urban,,,,,,,
256,South Michelleport,1/27/2018 19:38,15.45,7.47E+12,72,Urban,,,,,,,
257,North Madeline,4/7/2018 8:54,32.99,1.82E+12,19,Urban,,,,,,,
258,Christopherfurt,2/24/2018 2:56,40.33,9.58E+12,41,Urban,,,,,,,
259,Williamsstad,2/23/2018 17:42,4.68,9.11E+12,59,Urban,,,,,,,
260,Martinezhaven,4/18/2018 1:40,34.7,2.02E+12,25,Urban,,,,,,,
261,Simpsonburgh,4/3/2018 8:47,4.74,8.56E+12,21,Urban,,,,,,,
262,New Jacobville,2/4/2018 4:57,27.63,4.33E+12,50,Urban,,,,,,,
263,South Karenland,2/12/2018 3:42,5.78,8.89E+12,4,Urban,,,,,,,
264,Royland,1/27/2018 1:01,24.56,9.66E+12,64,Urban,,,,,,,
265,Karenside,1/22/2018 13:11,24.72,5.33E+12,5,Urban,,,,,,,
266,West Robert,5/5/2018 5:18,10.15,9.39E+12,39,Urban,,,,,,,
267,Port Samanthamouth,4/27/2018 8:48,12.84,5.66E+12,57,Urban,,,,,,,
268,West Samuelburgh,3/7/2018 1:51,14.55,7.16E+12,73,Urban,,,,,,,
269,New Kimberlyborough,3/29/2018 20:35,42.51,8.30E+12,33,Urban,,,,,,,
270,Port David,3/27/2018 11:56,15.64,5.34E+12,7,Urban,,,,,,,
271,Karenside,3/18/2018 12:48,36.96,7.61E+12,5,Urban,,,,,,,
272,New Paulton,2/8/2018 17:11,39.65,8.51E+12,44,Urban,,,,,,,
273,West Ericstad,1/8/2018 9:03,32.99,6.69E+12,25,Urban,,,,,,,
274,Port Johnbury,3/21/2018 2:20,32.8,5.45E+12,3,Urban,,,,,,,
275,Port Samanthamouth,3/27/2018 0:31,16.05,1.41E+12,57,Urban,,,,,,,
276,Port Frank,1/8/2018 23:51,42.13,2.10E+12,23,Urban,,,,,,,
277,Lake Jonathanshire,4/6/2018 11:30,16.84,6.16E+12,5,Urban,,,,,,,
278,West Angela,2/5/2018 18:53,36.37,7.83E+12,48,Urban,,,,,,,
279,Port Samanthamouth,3/27/2018 1:08,21.46,9.99E+12,57,Urban,,,,,,,
280,North Madeline,3/4/2018 17:20,21.38,9.54E+12,19,Urban,,,,,,,
281,Williamsview,1/15/2018 0:10,44.33,4.63E+12,46,Urban,,,,,,,
282,Grahamburgh,2/21/2018 6:55,22.65,8.16E+11,61,Urban,,,,,,,
283,South Evanton,3/6/2018 3:56,30.87,5.81E+12,11,Urban,,,,,,,
284,Loganberg,3/27/2018 13:32,4.72,6.12E+12,23,Urban,,,,,,,
285,Carriemouth,2/21/2018 16:38,44.18,4.53E+12,52,Urban,,,,,,,
286,Port David,1/2/2018 11:51,7.45,6.15E+12,7,Urban,,,,,,,
287,West Heidi,1/30/2018 12:59,30.84,8.94E+12,28,Urban,,,,,,,
288,Williamsstad,3/5/2018 2:33,25.02,1.31E+12,59,Urban,,,,,,,
289,North Barbara,2/4/2018 8:12,42.59,4.97E+12,18,Urban,,,,,,,
290,Lake Danielberg,3/17/2018 19:23,10.18,4.71E+12,19,Urban,,,,,,,
291,North Markport,4/13/2018 7:37,20.09,4.31E+12,22,Urban,,,,,,,
292,Port Angela,5/2/2018 4:14,35.76,7.95E+12,67,Urban,,,,,,,
293,Port Samanthamouth,3/15/2018 15:08,25.97,7.73E+12,57,Urban,,,,,,,
294,West Angela,5/3/2018 9:04,24.07,7.81E+12,48,Urban,,,,,,,
295,Leahton,2/21/2018 20:37,24.13,6.76E+12,17,Urban,,,,,,,
296,North Markport,4/28/2018 4:34,40.46,2.57E+12,22,Urban,,,,,,,
297,Karenside,3/9/2018 3:50,40.86,1.76E+12,5,Urban,,,,,,,
298,Jerryton,1/7/2018 12:05,7.86,7.07E+11,64,Urban,,,,,,,
299,South Michelleport,4/14/2018 1:20,37.93,1.53E+12,72,Urban,,,,,,,
300,Valentineton,3/25/2018 20:45,22.53,2.34E+12,45,Urban,,,,,,,
301,East Kaylahaven,4/9/2018 16:57,10.03,8.04E+12,65,Urban,,,,,,,
302,Erikaland,4/13/2018 12:26,25.22,4.85E+12,37,Urban,,,,,,,
303,West Christopherberg,1/8/2018 8:25,37.78,8.77E+12,32,Urban,,,,,,,
304,Pattyland,2/1/2018 22:43,32.03,2.85E+12,59,Urban,,,,,,,
305,Deanville,2/8/2018 23:33,21.22,4.79E+12,49,Urban,,,,,,,
306,West Christopherberg,3/21/2018 0:14,43.87,5.09E+12,32,Urban,,,,,,,
307,Justinberg,3/23/2018 6:28,30.58,3.50E+12,39,Urban,,,,,,,
308,Lake Danielberg,2/24/2018 19:34,34.82,2.44E+12,19,Urban,,,,,,,
309,Port Samanthamouth,1/30/2018 1:19,38.78,6.12E+12,57,Urban,,,,,,,
310,Lake Danielberg,2/28/2018 15:08,44.96,6.32E+12,19,Urban,,,,,,,
311,Deanville,4/15/2018 1:36,24.3,1.07E+12,49,Urban,,,,,,,
312,Pattyland,2/15/2018 15:13,44.03,1.56E+12,59,Urban,,,,,,,
313,Karenside,1/27/2018 8:52,7.65,4.73E+11,5,Urban,,,,,,,
314,Port Angela,4/22/2018 16:43,7.91,6.77E+12,67,Urban,,,,,,,
315,West Angela,4/14/2018 18:40,32.77,5.00E+12,48,Urban,,,,,,,
316,South Karenland,3/26/2018 6:12,35.5,1.48E+12,4,Urban,,,,,,,
